Sample_ID,Year,Site,Rep,Treatment,Type,SampleDate,SamplePeriod,NO3,NH4,PMN
BLM15-WF1-D34,2015,BLM,1,WF,acontrol,34,Four weeks,11.24,7.66,69.645
BLM15-WF2-D03,2015,BLM,2,WF,acontrol,3,AOne week,39.6,6.18,73.4
BLM15-WF2-D07,2015,BLM,2,WF,acontrol,7,AOne week,26.985,6.115,63.53
BLM15-WF2-D34,2015,BLM,2,WF,acontrol,34,Four weeks,12.045,6.67,95.355
BLM15-WF3-D03,2015,BLM,3,WF,acontrol,3,AOne week,32.965,8.095,56.485
BLM15-WF3-D07,2015,BLM,3,WF,acontrol,7,AOne week,NA,NA,NA
BLM15-WF3-D34,2015,BLM,3,WF,acontrol,34,Four weeks,12.06,7.575,82.165
BLM15-WF4-D03,2015,BLM,4,WF,acontrol,3,AOne week,40.425,5.05,68.98
BLM15-WF4-D07,2015,BLM,4,WF,acontrol,7,AOne week,15.54,5.73,83.9
BLM15-WF4-D34,2015,BLM,4,WF,acontrol,34,Four weeks,14.075,6.95,87.645
BLM16-105-D02,2016,BLM,1,WF,acontrol,2,AOne week,24.54,4.695,60.71
BLM16-105-D17,2016,BLM,1,WF,acontrol,17,Two weeks,18.77,12.795,63.995
BLM16-105-D33,2016,BLM,1,WF,acontrol,33,Four weeks,18.9,11.885,72.315
BLM16-107-D02,2016,BLM,1,PTT,brassica,2,AOne week,5.675,4.76,62.43
BLM16-107-D17,2016,BLM,1,PTT,brassica,17,Two weeks,13.385,11.365,72.07
BLM16-107-D33,2016,BLM,1,PTT,brassica,33,Four weeks,19.225,4.175,70.105
BLM16-109-D02,2016,BLM,1,WD,weed,2,AOne week,3.565,4.585,71.415
BLM16-109-D17,2016,BLM,1,WD,weed,17,Two weeks,12.955,11.155,94.345
BLM16-109-D33,2016,BLM,1,WD,weed,33,Four weeks,5.965,2.875,74.78
BLM16-112-D02,2016,BLM,1,MUS,brassica,2,AOne week,3.77,4.54,72.52
BLM16-112-D17,2016,BLM,1,MUS,brassica,17,Two weeks,13.41,10.26,91.05
BLM16-112-D33,2016,BLM,1,MUS,brassica,33,Four weeks,4.12,2.535,83.45
BLM16-202-D02,2016,BLM,2,MUS,brassica,2,AOne week,7.38,6.2,70.935
BLM16-202-D17,2016,BLM,2,MUS,brassica,17,Two weeks,16.365,10.335,84.965
BLM16-202-D33,2016,BLM,2,MUS,brassica,33,Four weeks,6.77,3.795,78.045
BLM16-203-D02,2016,BLM,2,WD,weed,2,AOne week,5.79,5.4,76.025
BLM16-203-D17,2016,BLM,2,WD,weed,17,Two weeks,18.22,11.995,80.445
BLM16-203-D33,2016,BLM,2,WD,weed,33,Four weeks,7.475,3.64,74.485
BLM16-209-D02,2016,BLM,2,WF,acontrol,2,AOne week,16.18,4.2,60.29
BLM16-209-D17,2016,BLM,2,WF,acontrol,17,Two weeks,18.975,12.895,62.52
BLM16-209-D33,2016,BLM,2,WF,acontrol,33,Four weeks,15.96,6.03,57.535
BLM16-212-D02,2016,BLM,2,PTT,brassica,2,AOne week,2.905,4.195,70.39
BLM16-212-D17,2016,BLM,2,PTT,brassica,17,Two weeks,8.695,7.625,75.395
BLM16-212-D33,2016,BLM,2,PTT,brassica,33,Four weeks,2.91,2.675,55.265
BLM16-302-D02,2016,BLM,3,MUS,brassica,2,AOne week,3.645,4.215,66.25
BLM16-302-D17,2016,BLM,3,MUS,brassica,17,Two weeks,5.325,4.305,107.2
BLM16-302-D33,2016,BLM,3,MUS,brassica,33,Four weeks,3.685,3.505,67.06
BLM16-303-D02,2016,BLM,3,WF,acontrol,2,AOne week,18.44,5.79,74.485
BLM16-303-D17,2016,BLM,3,WF,acontrol,17,Two weeks,19.275,8.555,71.805
BLM16-303-D33,2016,BLM,3,WF,acontrol,33,Four weeks,3.18,3.615,63.735
BLM16-307-D02,2016,BLM,3,PTT,brassica,2,AOne week,3.53,6.2,74.955
BLM16-307-D17,2016,BLM,3,PTT,brassica,17,Two weeks,10.795,9.855,98.315
BLM16-307-D33,2016,BLM,3,PTT,brassica,33,Four weeks,4.835,3.53,78.56
BLM16-313-D02,2016,BLM,3,WD,weed,2,AOne week,6.2,5.01,79.42
BLM16-313-D17,2016,BLM,3,WD,weed,17,Two weeks,11.82,9.09,93.68
BLM16-313-D33,2016,BLM,3,WD,weed,33,Four weeks,5.395,3.41,86.36
BLM16-401-D02,2016,BLM,4,PTT,brassica,2,AOne week,3.51,5.285,74.27
BLM16-401-D17,2016,BLM,4,PTT,brassica,17,Two weeks,11.035,10.29,94.65
BLM16-401-D33,2016,BLM,4,PTT,brassica,33,Four weeks,6.14,3.91,87.03
BLM16-406-D02,2016,BLM,4,WD,weed,2,AOne week,2.495,5.12,78.915
BLM16-406-D17,2016,BLM,4,WD,weed,17,Two weeks,10.215,8.55,82.265
BLM16-406-D33,2016,BLM,4,WD,weed,33,Four weeks,4.035,2.595,66.935
BLM16-411-D02,2016,BLM,4,WF,acontrol,2,AOne week,18.16,5.245,78.185
BLM16-411-D17,2016,BLM,4,WF,acontrol,17,Two weeks,19.505,9.23,71.36
BLM16-411-D33,2016,BLM,4,WF,acontrol,33,Four weeks,6,5.225,58.51
BLM16-413-D02,2016,BLM,4,MUS,brassica,2,AOne week,4.755,5.57,77.47
BLM16-413-D17,2016,BLM,4,MUS,brassica,17,Two weeks,9.76,6.79,74.27
BLM16-413-D33,2016,BLM,4,MUS,brassica,33,Four weeks,5.93,5.635,79.715
ROCK15-501-D06,2015,ROCK,5,M-OAT,mix,6,AOne week,22.245,7.87,82.035
ROCK15-501-D18,2015,ROCK,5,M-OAT,mix,18,Two weeks,22.015,7.725,127.165
ROCK15-501-D32,2015,ROCK,5,M-OAT,mix,32,Four weeks,16.355,8.295,25.365
ROCK15-502-D06,2015,ROCK,5,FAB,legume,6,AOne week,17.86,5.93,74.09
ROCK15-502-D18,2015,ROCK,5,FAB,legume,18,Two weeks,27.06,9.065,123.425
ROCK15-502-D32,2015,ROCK,5,FAB,legume,32,Four weeks,12.45,7.18,32.205
ROCK15-503-D06,2015,ROCK,5,OAT,grass,6,AOne week,20.44,8.595,103.17
ROCK15-503-D18,2015,ROCK,5,OAT,grass,18,Two weeks,19.545,8.485,99.72
ROCK15-503-D32,2015,ROCK,5,OAT,grass,32,Four weeks,15.195,6.21,68.405
ROCK15-504-D06,2015,ROCK,5,PTT,brassica,6,AOne week,21.87,6.86,85.105
ROCK15-504-D18,2015,ROCK,5,PTT,brassica,18,Two weeks,22.015,6.27,91.41
ROCK15-504-D32,2015,ROCK,5,PTT,brassica,32,Four weeks,26.72,6.955,64.65
ROCK15-505-D06,2015,ROCK,5,PEA,legume,6,AOne week,27.955,8.245,103.905
ROCK15-505-D18,2015,ROCK,5,PEA,legume,18,Two weeks,20.235,6.35,108.365
ROCK15-505-D32,2015,ROCK,5,PEA,legume,32,Four weeks,13.155,7.28,65.33
ROCK15-506-D06,2015,ROCK,5,SPW,grass,6,AOne week,16.03,6.51,104.06
ROCK15-506-D18,2015,ROCK,5,SPW,grass,18,Two weeks,20.91,5.875,101.515
ROCK15-506-D32,2015,ROCK,5,SPW,grass,32,Four weeks,34.905,7.035,86.88
ROCK15-507-D06,2015,ROCK,5,M-PEA,mix,6,AOne week,27.34,8.465,95.275
ROCK15-507-D18,2015,ROCK,5,M-PEA,mix,18,Two weeks,16.985,6.375,95.725
ROCK15-507-D32,2015,ROCK,5,M-PEA,mix,32,Four weeks,22.94,6.495,78.905
ROCK15-508-D06,2015,ROCK,5,M-SPW,mix,6,AOne week,21.27,6.395,112.695
ROCK15-508-D18,2015,ROCK,5,M-SPW,mix,18,Two weeks,22.425,5.82,98.76
ROCK15-508-D32,2015,ROCK,5,M-SPW,mix,32,Four weeks,35.605,6.845,72.05
ROCK15-509-D06,2015,ROCK,5,M-MUS,mix,6,AOne week,23.725,6.59,103.685
ROCK15-509-D18,2015,ROCK,5,M-MUS,mix,18,Two weeks,25.445,8.01,NA
ROCK15-509-D32,2015,ROCK,5,M-MUS,mix,32,Four weeks,16.425,6.86,22.68
ROCK15-511-D06,2015,ROCK,5,M-PTT,mix,6,AOne week,22.225,6.54,100.63
ROCK15-511-D18,2015,ROCK,5,M-PTT,mix,18,Two weeks,21.865,7.46,132.345
ROCK15-511-D32,2015,ROCK,5,M-PTT,mix,32,Four weeks,15.015,5.875,85.135
ROCK15-512-D06,2015,ROCK,5,M-FAB,mix,6,AOne week,21.255,7.015,114.295
ROCK15-512-D18,2015,ROCK,5,M-FAB,mix,18,Two weeks,21.855,7.38,97.91
ROCK15-512-D32,2015,ROCK,5,M-FAB,mix,32,Four weeks,11.02,6.41,72.87
ROCK15-513-D06,2015,ROCK,5,MUS,brassica,6,AOne week,20.265,5.8,97.555
ROCK15-513-D18,2015,ROCK,5,MUS,brassica,18,Two weeks,13.655,5.72,112.965
ROCK15-513-D32,2015,ROCK,5,MUS,brassica,32,Four weeks,17.97,6.89,78.465
ROCK15-514-D06,2015,ROCK,5,WD,weed,6,AOne week,17.75,7.865,92.53
ROCK15-514-D18,2015,ROCK,5,WD,weed,18,Two weeks,11.86,4.49,89.06
ROCK15-514-D32,2015,ROCK,5,WD,weed,32,Four weeks,32.32,10.49,96.61
ROCK15-601-D06,2015,ROCK,6,WD,weed,6,AOne week,24.065,8.46,95.34
ROCK15-601-D18,2015,ROCK,6,WD,weed,18,Two weeks,18.45,6.81,115.85
ROCK15-601-D32,2015,ROCK,6,WD,weed,32,Four weeks,24.85,12.905,107.76
ROCK15-602-D06,2015,ROCK,6,SPW,grass,6,AOne week,21.685,8.195,87.935
ROCK15-602-D18,2015,ROCK,6,SPW,grass,18,Two weeks,17.95,7.69,94.89
ROCK15-602-D32,2015,ROCK,6,SPW,grass,32,Four weeks,22.71,7.65,72.795
ROCK15-603-D06,2015,ROCK,6,M-PEA,mix,6,AOne week,17.23,6.985,78.285
ROCK15-603-D18,2015,ROCK,6,M-PEA,mix,18,Two weeks,21.905,6.78,108.955
ROCK15-603-D32,2015,ROCK,6,M-PEA,mix,32,Four weeks,22.93,8.06,78.49
ROCK15-604-D06,2015,ROCK,6,M-PTT,mix,6,AOne week,26.28,8,82.05
ROCK15-604-D18,2015,ROCK,6,M-PTT,mix,18,Two weeks,15.845,6.78,140.87
ROCK15-604-D32,2015,ROCK,6,M-PTT,mix,32,Four weeks,22.73,6.7,89.22
ROCK15-605-D06,2015,ROCK,6,M-FAB,mix,6,AOne week,24.86,10.295,104.355
ROCK15-605-D18,2015,ROCK,6,M-FAB,mix,18,Two weeks,16.915,6.9,128.465
ROCK15-605-D32,2015,ROCK,6,M-FAB,mix,32,Four weeks,18.735,7.335,35.875
ROCK15-606-D06,2015,ROCK,6,MUS,brassica,6,AOne week,21.595,7.12,92.155
ROCK15-606-D18,2015,ROCK,6,MUS,brassica,18,Two weeks,16.29,7.29,101.03
ROCK15-606-D32,2015,ROCK,6,MUS,brassica,32,Four weeks,34.075,7.845,75.37
ROCK15-607-D06,2015,ROCK,6,M-SPW,mix,6,AOne week,21.855,7.615,97.055
ROCK15-607-D18,2015,ROCK,6,M-SPW,mix,18,Two weeks,15.155,5.675,95.865
ROCK15-607-D32,2015,ROCK,6,M-SPW,mix,32,Four weeks,17.5,5.76,88.9
ROCK15-608-D06,2015,ROCK,6,OAT,grass,6,AOne week,17.36,6.03,83.165
ROCK15-608-D18,2015,ROCK,6,OAT,grass,18,Two weeks,16.185,5.625,96.855
ROCK15-608-D32,2015,ROCK,6,OAT,grass,32,Four weeks,13.715,4.475,73.67
ROCK15-609-D06,2015,ROCK,6,M-OAT,mix,6,AOne week,20.94,9.68,87.235
ROCK15-609-D18,2015,ROCK,6,M-OAT,mix,18,Two weeks,16.87,7.035,110.355
ROCK15-609-D32,2015,ROCK,6,M-OAT,mix,32,Four weeks,11.705,5.72,91.935
ROCK15-610-D06,2015,ROCK,6,FAB,legume,6,AOne week,17.63,6.47,89.26
ROCK15-610-D18,2015,ROCK,6,FAB,legume,18,Two weeks,17.025,6.12,91.06
ROCK15-610-D32,2015,ROCK,6,FAB,legume,32,Four weeks,17.92,6.325,88.095
ROCK15-612-D06,2015,ROCK,6,M-MUS,mix,6,AOne week,22.34,8.41,121.02
ROCK15-612-D18,2015,ROCK,6,M-MUS,mix,18,Two weeks,16.755,5.755,85.315
ROCK15-612-D32,2015,ROCK,6,M-MUS,mix,32,Four weeks,23.5,6.15,94.25
ROCK15-613-D06,2015,ROCK,6,PEA,legume,6,AOne week,20.775,6.27,66.125
ROCK15-613-D18,2015,ROCK,6,PEA,legume,18,Two weeks,19.97,7.87,105.375
ROCK15-613-D32,2015,ROCK,6,PEA,legume,32,Four weeks,14.895,6.235,50.045
ROCK15-614-D06,2015,ROCK,6,PTT,brassica,6,AOne week,18.725,5.275,69.535
ROCK15-614-D18,2015,ROCK,6,PTT,brassica,18,Two weeks,14.895,6.675,91.32
