OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_205,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Monilinia,Monilinia linhartiana
OTU_206,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi sp
OTU_207,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,Pleosporales sp
OTU_208,Fungi,Zygomycota,Incertae sedis,Mortierellales,Mortierellaceae,Mortierella,Mortierella amoeboidea
OTU_209,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Massarinaceae,Keissleriella,Keissleriella poagena
OTU_210,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,unidentified,unidentified,Cantharellales sp
OTU_211,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,Agaricales sp
OTU_213,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleomassariaceae,unidentified,Pleomassariaceae sp
OTU_214,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,Agaricales sp
OTU_215,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Westerdykella,Westerdykella reniformis
OTU_216,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora eremochloae
OTU_217,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi sp
OTU_218,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota sp
OTU_219,Fungi,Ascomycota,Leotiomycetes,Helotiales,Incertae sedis,Scytalidium,Scytalidium sp
OTU_220,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Articulospora,Articulospora sp
OTU_221,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae sedis,Cryptococcus,Cryptococcus rajasthanensis
OTU_222,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota sp
OTU_223,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,Agaricales sp
OTU_224,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Codinaeopsis,Codinaeopsis sp
OTU_225,Fungi,Ascomycota,Sordariomycetes,Trichosphaeriales,Incertae sedis,Nigrospora,Nigrospora sp
OTU_226,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Corynesporascaceae,Corynespora,Corynespora cassiicola
OTU_227,Fungi,Ascomycota,Eurotiomycetes,Onygenales,unidentified,unidentified,Onygenales sp
OTU_228,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae sedis,Cryptococcus,Cryptococcus paraflavus
OTU_229,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Cylindrocarpon,Cylindrocarpon sp
OTU_230,Fungi,Ascomycota,Incertae sedis,Incertae sedis,Incertae sedis,Leptodiscella,Leptodiscella sp
OTU_231,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,Agaricomycetes sp
OTU_232,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Clavulinaceae,Clavulina,Clavulina sp
OTU_233,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Psathyrella stercoraria
OTU_235,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,Peziza varia
OTU_236,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Scutellinia,Scutellinia scutellata
OTU_237,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcosomataceae,unidentified,Sarcosomataceae sp
OTU_238,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,Pleosporales sp
OTU_239,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,Agaricales sp
OTU_240,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces assiutensis
OTU_242,Fungi,Ascomycota,Sordariomycetes,Sordariales,unidentified,unidentified,Sordariales sp
OTU_243,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium sp
OTU_244,Fungi,Ascomycota,Dothideomycetes,unidentified,unidentified,unidentified,Dothideomycetes sp
OTU_245,Fungi,Zygomycota,Incertae sedis,Mortierellales,Mortierellaceae,Mortierella,Mortierella hyalina
OTU_246,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Bolbitius,Bolbitius demangei
OTU_247,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium sp
OTU_248,Fungi,Ascomycota,Sordariomycetes,Xylariales,unidentified,unidentified,Xylariales sp
OTU_249,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium flavoviride
OTU_251,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Corynesporascaceae,Corynespora,Corynespora citricola
OTU_252,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi sp
OTU_253,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,unidentified,Lasiosphaeriaceae sp
OTU_254,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,Agaricales sp
OTU_255,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Crocicreas,Crocicreas pallidum
OTU_256,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,Agaricales sp
OTU_257,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinales Group B,Serendipita,Serendipita sp
OTU_259,Fungi,Ascomycota,Sordariomycetes,Incertae sedis,Plectosphaerellaceae,Gibellulopsis,Gibellulopsis sp
OTU_261,Fungi,Ascomycota,Dothideomycetes,unidentified,unidentified,unidentified,Dothideomycetes sp
OTU_262,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis pachyderma
OTU_263,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi sp
OTU_264,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Massarinaceae,Keissleriella,Keissleriella poagena
OTU_265,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Pleospora,Pleospora bjoerlingii
OTU_266,Fungi,Ascomycota,Leotiomycetes,Incertae sedis,Myxotrichaceae,Oidiodendron,Oidiodendron cereale
OTU_267,Fungi,Ascomycota,Leotiomycetes,Helotiales,unidentified,unidentified,Helotiales sp
