OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_202,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Skermanella,
OTU_203,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,,,
OTU_204,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,,
OTU_205,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Ellin5290,,,
OTU_206,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Anaeromyxobacter,
OTU_207,Bacteria,Gemmatimonadetes,Gemm-1,,,,
OTU_208,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
OTU_209,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Pilimelia,
OTU_210,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,,,
OTU_211,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,,,
OTU_212,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Streptosporangium,
OTU_213,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
OTU_214,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,
OTU_215,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,,,
OTU_216,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,,,
OTU_217,Bacteria,Gemmatimonadetes,Gemm-1,,,,
OTU_218,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,EB1017,,
OTU_219,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,C111,,
OTU_220,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,,
OTU_221,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,
OTU_222,Bacteria,Chloroflexi,Anaerolineae,SBR1031,SJA-101,,
OTU_223,Bacteria,Proteobacteria,Betaproteobacteria,MND1,,,
OTU_224,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU_225,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
OTU_226,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Frankiaceae,,
OTU_227,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,,,
OTU_228,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,,
OTU_229,Bacteria,WS3,PRR-12,Sediment-1,,,
OTU_230,Bacteria,Chloroflexi,Chloroflexi,[Roseiflexales],[Kouleothrixaceae],,
OTU_231,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],Ellin517,,
OTU_232,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Patulibacteraceae,,
OTU_233,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Kaistobacter,
OTU_234,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
OTU_235,Bacteria,Acidobacteria,[Chloracidobacteria],PK29,,,
OTU_236,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,,,
OTU_237,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,rhizosphaerae
OTU_238,Bacteria,Gemmatimonadetes,Gemm-1,,,,
OTU_239,Bacteria,Chloroflexi,S085,,,,
OTU_240,Bacteria,Gemmatimonadetes,Gemmatimonadetes,,,,
OTU_241,Archaea,Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,gargensis
OTU_242,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],auto67_4W,,
OTU_243,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Ellin5290,,,
OTU_244,Bacteria,WS3,PRR-12,Sediment-1,,,
OTU_245,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU_246,Bacteria,Acidobacteria,[Chloracidobacteria],24-Nov,,,
OTU_247,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
OTU_248,Bacteria,Gemmatimonadetes,Gemm-1,,,,
OTU_249,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,,,
OTU_250,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,
OTU_251,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
